road_type,hour,count_date,all_motor_vehicles
motorway,15,2023-07-05,3079.9285714285716
motorway,15,2023-07-06,3584.75
motorway,15,2023-07-10,4157.166666666667
motorway,15,2023-07-11,2371.0
motorway,15,2023-07-12,2881.7
motorway,15,2023-07-13,3976.0833333333335
motorway,15,2023-07-14,4471.875
motorway,15,2023-07-18,4006.0
motorway,15,2023-09-06,2415.5
motorway,15,2023-09-08,3989.285714285714
motorway,15,2023-09-11,1766.3333333333333
motorway,15,2023-09-12,3669.3333333333335
motorway,15,2023-09-13,4672.0
motorway,15,2023-09-14,3144.5
motorway,15,2023-09-15,5751.0
motorway,15,2023-09-18,4063.25
motorway,15,2023-09-19,3634.5
motorway,15,2023-09-20,4069.375
motorway,15,2023-09-21,2567.75
motorway,15,2023-09-22,3647.0
